Article Title,Article Text,Article Date,Article Author,Article Sections,Article Category,Article Companies
"AIMCo, KKR Pick Up Stake In Coastal GasLink | Daily Oil Bulletin ","
TC Energy Corporation announced an agreement to sell a 65 per cent equity interest in the Coastal GasLink pipeline project to KKR and Alberta Investment Management Corporation (AIMCo) on behalf of certain AIMCo clients.
Concurrent with the completion of the sale, TC Energy expects that Coastal GasLink will enter into a secured project financing construction credit facility with a syndicate of banks to fund up to 80 per cent of the project during construction. Both transactions are expected to close in the first half of 2020, subject to customary regulatory approvals and consents, including the consent of LNG Canada.
 “The partial monetization of Coastal GasLink advances our ongoing efforts to prudently fund our $30 billion secured capital program while maximizing value for our shareholders,” said Russ Girling, TC Energy president and chief executive officer. “We look forward to establishing a long-term relationship with KKR and AIMCo as we advance this critical energy infrastructure project. We remain fully committed to the project and will continue to construct, deliver and operate the pipeline on behalf of the partnership.”
Under the terms of the sale, TC Energy will receive upfront proceeds that include reimbursement of KKR and AIMCo’s proportionate share of the project costs incurred as of the date of close as well as additional payment streams through the project’s construction and operation. The company expects to record an after-tax gain of approximately $600 million upon closing of the transaction which includes the gain on sale, required revaluation of residual ownership interest to fair market value and recognition of previously unrecorded tax benefits.
The introduction of high-quality partners, establishment of a dedicated project-level financing facility, the recovery of cash payments through construction for carrying charges on costs incurred, and remuneration for costs to date are expected to substantially satisfy TC Energy’s Coastal GasLink funding requirements through project completion, further solidifying the company’s financial flexibility, it said.
Coastal GasLink involves the construction of 670 kilometres (416 miles) of pipeline and associated facilities. Once completed, the pipeline will have an initial capacity of 2.1 bcf/d and connect abundant Western Canadian Sedimentary Basin natural gas supply from the Dawson Creek, B.C. area to the LNG Canada liquefaction and export facility being constructed in Kitimat, B.C. All necessary regulatory permits have been received for the project and construction activities have commenced.
Following the close of the transaction, TC Energy will hold a 35 per cent limited partnership equity interest in Coastal GasLink and will be contracted by the limited partnership to construct and operate the pipeline. This transaction was contemplated in the company’s agreements with LNG Canada.
TC Energy is also committed to working with the 20 First Nations that have executed agreements with Coastal GasLink to provide them with an opportunity to invest in the project. As a result, in conjunction with this sale, the company will provide the First Nations with an option to acquire a 10 per cent equity interest in Coastal GasLink on similar terms.
RBC Capital Markets is acting as exclusive financial advisor to TC Energy and as global lead co-ordinating arranger on the project finance construction facility.
","Monday, December 30, 2019, 8:01 AM MST", ,"
 
Gas/LNG
","
 
Asset Sales and Acquisitions
, 
LNG
, 
Natural Gas
, 
Oil & Gas Finance - Investment
, 
Pipelines
"," 
TC Energy Corporation
"
Keystone Pipeline Legal Challenge By Tribes Clears First Hurdle | Daily Oil Bulletin ,"
(Bloomberg) –– Native American tribes cleared a hurdle in their lawsuit to block the Trump administration’s permit for the proposed Keystone XL oil pipeline from Canada. 
A federal judge in Montana on Friday rejected the Trump administration’s request to throw out the lawsuit. The tribes claim that a permit issued in March by the president to TC Energy Corporation would allow the pipeline to disturb cultural sites and water supplies in violation of tribal law and treaties. 
“The tribes have pled a plausible claim that the president exceeded his constitutional authority and usurped congress’s authority to regulate foreign commerce when he issued the 2019 permit,” U.S. District Judge Brian Morris said in his decision. 
The judge denied a request to block preliminary work on the pipeline, however. No work is planned until next year. 
The project was rejected in 2015 by President Barack Obama on environmental grounds. On his fourth day in office, President Donald Trump invited TC Energy to reapply for a presidential permit. 
In 2018, Morris ruled that a 2014 environmental impact statement fell short of the National Environmental Policy Act and other regulatory standards. That ruling barred TC Energy and the U.S. from any construction activity until the U.S. State Department completed a supplemental review. 
The administration was appealing that decision in March when Trump revoked an earlier cross-border permit and issued a new one, effectively circumventing Morris’s ruling. 
The cases are Rosebud Sioux Tribe v. Trump, 18-cv-118, and Indigenous Environmental Network v. Trump, 19-cv-00028, U.S. District Court, District of Montana (Great Falls). 
","Monday, December 23, 2019, 7:22 AM MST", , ,"
 
Legal
, 
Pipelines
, 
Transportation
, 
U.S.
","
 
TC Energy Corporation
"
"U.S. Sanctions Will Delay, Raise Costs Of Nord Stream 2 Pipeline | Daily Oil Bulletin ","
(Reuters) –– U.S. sanctions on companies building a pipeline to boost Russian gas supplies to Europe will delay the completion of the project by several months and increase its cost, a member of German Chancellor Angela Merkel’s conservatives said on Monday. 
The group behind Nord Stream 2 has said it aims to complete the project seeking to double gas capacity along the northern Nord Stream pipeline route to Germany as soon as possible after U.S. sanctions prompted a contractor to suspend pipe-laying. 
The United States, which is seeking to sell more of its own liquefied natural gas to European states, says Nord Stream 2 will make Europe too reliant on Russian supplies. 
""The sanctions will temporarily delay completion of the Nord Stream 2 pipeline,” conservative lawmaker Peter Beyer told German public radio. ""But I believe that in the second half of next year the pipeline will be completed.” 
The Nord Stream 2 pipeline, which will run along the Baltic Sea floor, was expected to start up in the first half of 2020. 
""There are alternatives, which will bring with them delays as well as higher costs,” said Beyer. 
Merkel has condemned the decision but said her government would not retaliate against Trump’s sanctions. 
Russian Foreign Minister Sergei Lavrov said on Sunday that the pipeline would be launched despite U.S. sanctions and that Russia would respond. 
Gazprom, Russia’s state-controlled gas giant and a major backer of Nord Stream 2, already supplies more than a third of Europe's gas needs. 
Nord Stream 2 will help Russia bypass Ukraine, the main route for Russian gas. The two neighbouring countries, which are locked in military conflict that followed Russia’s annexation of Crimea in 2014, agreed a new transit deal this week.  
Nord Stream 2 contractor, Swiss-Dutch company Allseas, announced on Friday it had suspended pipe-laying activities. 
Other partners in Nord Stream 2 are Austria’s OMV, the German firms Uniper and Wintershall, Anglo-Dutch energy major Royal Dutch Shell plc and France’s Engie. 
","Monday, December 23, 2019, 12 AM MST", ,"
 
Gas/LNG
","
 
International
, 
Natural Gas
, 
Pipelines
, 
Transportation
","
 
Royal Dutch Shell plc
"
Canadian Mainline Long-Term Toll Settlement Filed With CER | Daily Oil Bulletin ,"
TransCanada PipeLines Limited has filed an application with the Canada Energy Regulator (CER) for approval of a six-year negotiated and unanimously supported settlement on Canadian Mainline tolls.
TCPL, a wholly-owned subsidiary of TC Energy Corporation, has requested timely approval of the unanimous settlement to ensure certainty before terms come into effect in January 2021.
The Canadian Mainline is comprised of approximately 14,100 kilometres (8,761 miles) of pipeline and associated facilities and primarily transports Western Canadian Sedimentary Basin natural gas for delivery across the Prairie provinces and to markets in Eastern Canada and the United States.
The settlement, which highlights the continued importance of the Canadian Mainline, is the product of a comprehensive collaborative process of engagement and negotiation with Canadian Mainline customers, Russ Girling, TC Energy president and chief executive office, said in a statement. “It enhances competitiveness and provides toll certainty for our customers while maintaining stable revenue for TC Energy,” he added.
“We appreciate the efforts of industry to work with us to create innovative solutions that utilize this critical transportation link to enhance the long-term success of the WCSB.”
The settlement, which would be in effect from Jan. 1, 2021 to Dec. 31, 2026, is designed to facilitate cost-effective transportation of natural gas from the WCSB to eastern markets.
The agreement:

Sets an equity return of 10.1 per cent on 40 per cent deemed common equity, subject to variance depending on actual operating costs and natural gas throughput;
Sets tolls for the term for separate segments of the Canadian Mainline (Western Mainline and Eastern Triangle) providing a 20 per cent reduction from existing tolls on the western portion of the system that includes the path from Empress to Emerson;
Includes a sharing mechanism incenting TC Energy to achieve cost efficiencies and increased revenues; and
Affirms TC Energy’s pricing flexibility and allows new market-driven services to enhance flexibility to respond to changing market conditions.

","Friday, December 20, 2019, 8:47 AM MST", ,"
 
Gas/LNG
, 
Markets
","
 
Natural Gas
, 
Pipelines
, 
Regulatory
","
 
TC Energy Corporation
"
CER Sets Date For Conclusion Of NGTL North Corridor Proceeding | Daily Oil Bulletin ,"
NOVA Gas Transmission Ltd. (NGTL) is to present final reply argument and any reply to comments on conditions for its proposed $632 million North Corridor expansion before the Canada Energy Regulator (CER) on April 23, 2020.
Indigenous interveners are to present evidence at Indigenous knowledge sessions Feb. 4-6, 2020 in Peace River.
The CER has set a deadline of Nov. 26, 2020 (maximum 15 months) for it to prepare and issue a report to the federal cabinet. NGTL has asked it to recommend approval in a timely manner that would allow for the federal cabinet to issue a certificate of public convenience and necessity (CPCN) no later than January 2021. Work is scheduled to start in the first quarter of 2021.
The North Corridor project is a proposed expansion of the NGTL System to transport gas from the Peace River Project Area (PRPA), northwest of James River and west of NGTL’s Meikle River compressor station, to growing intra-basin markets in the North of Bens Area (NOBA), east of Meikle River and north of the Bens Lake compressor station.
The project consists of a total of 81 kilometres of pipeline in three sections (56 kilometres of 48-inch pipe in two sections and 25 kilometres of 36-inch pipe in one section) and one compressor unit addition. It is underpinned by incremental firm transport-delivery (FT-D) contracts that exceed the capacity of the NGTL System beginning in 2022.
","Friday, December 20, 2019, 11:11 AM MST", ,"
 
Markets
","
 
Natural Gas
, 
Pipelines
, 
Regulatory
", 
Government Extends 35% Assessment Reduction For Shallow Gas Assets For Second Year | Daily Oil Bulletin ,"
Gas producers will receive a 35 per cent property assessment reduction on shallow gas wells and pipelines for the 2020 tax year while the assessment system is overhauled.
This mirrors the provincial assistance provided in 2019 while the provincial government reviews property tax assessment for the oil and gas sector.
About 70,000 wells and associated pipelines in Alberta meet the criteria for the assessment reduction.
Kaycee Madu, minister of municipal affairs, said the government recognizes that many of Alberta’s shallow gas producers are continuing to struggle because of market conditions and high operating expenses, including property taxes based on outdated models.
He said until the new assessment models can be implemented, the government will provide the 35 per cent reduction on shallow gas assets for the 2020 tax year.
The government will continue to consult with municipalities and industry while it changes the model used to determine the value of assessments, particularly for oil and gas properties. Changes are expected to come into effect in 2021.
Canadian Association of Petroleum Producers (CAPP) president Tim McMillan said Alberta has historically assessed its industry at a higher level relative to other jurisdictions, which means higher taxes and fewer jobs.
 “The province’s relief for shallow gas assets and its leadership in ensuring the 2020 assessment review does not adversely impact industry competitiveness sends a critical signal to the investment community that Alberta is open for business,” he said.
Dale Nally, associate minister of natural gas, said the government has implemented a number of actions that provided much-needed, short-term relief for Alberta’s natural gas producers, and is now shifting focus to the long term.
 “Providing the same property assessment reduction in 2020 as in 2019 will allow us to work with industry to fix Alberta’s assessment model, without having to rush the process,” he said.
The assessment models for linear property have not been updated since 2005.
","Friday, December 20, 2019, 12 AM MST", , ,"
 
Government/Policy
, 
Natural Gas
, 
Pipelines
", 
TC Energy Reports Results Of Conversion For Series 1 And Series 2 Preferred Shares | Daily Oil Bulletin ,"
TC Energy Corporation reported that 173,954 of its 9.5 million fixed rate cumulative redeemable first preferred shares, Series 1, have been elected for conversion on Dec. 31, 2019.
It will be on a one-for-one basis, into floating rate cumulative redeemable first preferred shares, Series 2. The company also reported that 5.25 million of its 12.5 million Series 2 shares have been elected for conversion, on a one-for-one basis, into Series 1 shares.
As a result of the conversions, TC Energy will have 14.58 million Series 1 shares and 7.42 million Series 2 shares issued and outstanding. The Series 1 shares and Series 2 shares will continue to be listed on the Toronto Stock Exchange (TSX) under the symbols TRP.PR.A and TRP.PR.F.
","Friday, December 20, 2019, 12 AM MST", , ,"
 
Oil & Gas Finance - Investment
, 
Pipelines
","
 
TC Energy Corporation
"
Enbridge Says Canadian Mainline Contracts Could Boost WCSB Prices | Daily Oil Bulletin ,"
A proposal to introduce firm service on Enbridge Inc.’s Canadian Mainline in response to shipper requests is an important step to locking in long-term demand for Canadian crude to support future price outlooks, says a senior company executive.
Additionally, contracting should have a neutral to positive effect on western Canadian oil prices, in Enbridge’s view and in the evidence filed with the Canada Energy Regulator (CER) in an application for a  new service and tolling framework, Guy Jarvis, executive vice-president and president of Liquids Pipelines, said Thursday in a conference call.
“The producing community, whether they plan to ship on our system or not, is worried about price and we get that,” he said. “We are going to continue spending a lot more time with as many producers as possible to make sure that we can get them comfortable with our view of how this is going to impact them.”
Earlier this fall, in response to concerns raised by some shippers about access to the Mainline, the CER halted an Enbridge open season until the regulator had approved all tolls and associated terms and conditions. The proceeding is expected to take 12-14 months, including a hearing in the second half of 2020.
The application for contracted and uncommitted service includes the associated terms, conditions and tolls of each service which Enbridge hopes to offer in an open season in the first quarter of 2021 following CER approval of the package. The target implementation date is the later of July 1, 2021 or the completion of the Line 3 replacement which restores the line’s capacity to 760,000 bbls/d, about 370,000 bbls/d more than today.
Jarvis said the regulatory filing is the result of more than 18 months of negotiation with its shippers to arrive at a negotiated package that recognizes the needs of customers in a balanced way.
 In response to question, he said that given the strong support for the negotiated open season package there were only a couple of small changes, including a change to the credit requirements sought by smaller producers. For example, Enbridge had been seeking credit support for 90 days, up from the current requirement for 60 days, but it has agreed to continue with the 60 days “given how tough the environment is for a lot of these small players,” said Jarvis.
“We believe our contracting offer is very attractive to anyone wanting to ship on our system,” he said. “It provides capacity certainty and priority access; the tolls are competitive with an up to 10 per cent reduction from expected tolls were the current CTS (competitive  toll settlement) … to continue; multiple contracting options are available to meet the needs of our diverse shipping group and the Mainline continues to offer unmatched market access and flexibility.”
The proposal also continues to competitively position the Mainline with incentives to maximize throughput which is so important to its customers, according to the application.
Open season 
The open season will allow non-discriminatory open access to securing capacity for all interested shippers, including smaller companies that can contract for as little as 2,200 bbls/d, said Jarvis. If a company’s production declines or is shut in, the producer will not have to pay to ship volumes it doesn’t produce. “We believe the approach that we have proposed for the open season is the gold standard in terms of allowing all potential participants to participate,” he said.
The proposed new contract carriage service will enable shippers to contract for priority access on a long-term basis for up to 90 per cent of Canadian Mainline capacity of 3.25 million bbls/d (including a fully replaced Line 3) compared to the current common carrier service in which shippers can obtain capacity only on a month-to-month basis.
“Given the physical attributes and operational complexities of the Enbridge Mainline system, the specific capacity that Enbridge will offer for contracts is different for each Service Haul Segment and petroleum type,” says the application.  Contractible capacity within each of the short, medium and long haul segments will be allocated equally to contracts for service from Edmonton and from Hardisty, subject to a limit for service from Edmonton, in part because there is less pipeline capacity available from Edmonton.
The application provides for two basic types of Transportation Services Agreements (TSAs): take-or-pay or a requirements contract created to make contracting accessible for shippers for whom contracting might not otherwise be feasible. All TSAs provide contracting shippers with priority access to the Canadian Mainline in return for their commitment to ship a specified volume of petroleum each month.
A number of discounts may be provided to contract shippers, depending on total volume that Enbridge contracts and the total volume shipped in a month. Additional toll discounts are available to those subscribing for larger volumes or longer terms.
The application includes 13 letters of support from producers, integrated producers and refiners, most of them existing shippers representing more than 70 per cent of current crude oil throughput on the Mainline. “These shippers have expressed interest in contracting, in aggregate, for an even greater percentage of the contractible crude oil capacity [medium and long haul segments] Enbridge will offer in the open season,” says the company.
Uncommitted shipments 
Enbridge will reserve a minimum of 10 per cent (325,000 bbls/d) of the available Mainline capacity for shipments of spot or uncommitted volumes which will continue to be available for nominations on a month-to-month basis. That volume is more than on competing pipeline systems such as Keystone which has a minimum of six per cent uncontracted capacity.
In addition, as any contracted capacity that is not used for contract shipments may be available for spot shipments, more than 10 per cent of capacity may be available in a given month, said Jarvis.
The available capacity of the Enbridge Mainline also is expandable and the company has several options that may allow for its optimization by approximately 200,000 bbls/d through enhancements such as drag reducing agents and additional horsepower at pump stations, Enbridge says in its application.
However, “Enbridge requires certainty that the existing Enbridge Mainline will continue to be used over the long-term,” it says. “The best way for Enbridge to ensure long-term utilization of existing capacity is to enter into long-term contracts.”
Pipe-to-pipe competition 
Enbridge says the introduction of firm service will support the long-term competitive operation of the Mainline. “It will position Enbridge to compete with other oil pipelines that provide shippers from the WCSB with priority access to capacity and toll certainty,” it says. “It will also assist Enbridge in securing volumes for the Mainline over the longer-term.”
According to the company, the Canadian Mainline faces competition from existing and future pipelines exiting Western Canada. These include Keystone, Keystone XL, the Trans Mountain expansion and Trans Mountain. All have contracts in place that contract the majority of their capacity to firm service on a long-term basis except for Trans Mountain which has firm service on some of its existing capacity.
“Firm service levels the playing field with other firm-service pipelines and promotes efficient competition,” says Enbridge.  “Firm service will enhance the ability of the Canadian Mainline to attract and retain shippers when those shippers consider firm service alternatives on other pipelines. This promotes pipe-to-pipe competition.”
In addition, firm service will advance the Canadian government’s goals of enhancing Canada’s global competitiveness, providing certainty to investors and stakeholders and driving innovation, as set out in the preamble to the CER Act, says the company.
Tolls 
The committed base toll is US$5.70/bbl for a heavy crude oil movement from Hardisty to Chicago (Lockport, Mokena, Griffith and Flanagan). From that toll, Enbridge and potential shippers negotiated discounts, an adjustment mechanism and surcharges,
Due to the integrated nature of the Enbridge Mainline, the committed tolls for Canadian local and international transportation movements are calculated on a system-wide distance basis (Canada and the United States). Committed tolls are in U.S. dollars for both the Canadian local and for international movements.
The uncommitted transportation tolls are at a premium to the committed tolls to recognize the different circumstances between committed shippers that have made long-term financial commitments to the Canadian Mainline and spot shippers that have not, says Enbridge.
The premium of US29 cents/bbl (about five per cent) was the subject of negotiation with shippers and results in a base uncommitted toll of US$5.99/bbl. The premium for all other receipt and delivery point pairings is determined by adjusting the 29 cent/bbl premium to reflect distance and commodity type. The adjusted premium is then added to the committed base tolls to determine the uncommitted transportation toll for receipt and delivery point pairings.
The uncommitted transportation tolls include the transmission toll, receipt and delivery terminalling tolls and the Line 3 replacement surcharge. Similar to committed tolls, they are calculated on a system-wide distance basis.
","Thursday, December 19, 2019, 2:43 PM MST",Elsie Ross,"
 
Markets
","
 
Pipelines
, 
Regulatory
","
 
Enbridge Inc.
"
Court Reserves Decision On Challenge To Trans Mountain Expansion | Daily Oil Bulletin ,"
(Reuters) — A panel of judges reserved its decision on Wednesday after hearing arguments from First Nations groups that the Canadian government had failed to properly consult them on expanding its oil pipeline.
The challenge to the Federal Court of Appeal is the latest obstacle to tripling capacity on the Alberta-to-British Columbia Trans Mountain pipeline.
“It feels like an acrimonious divorce. Obviously there’s a lot of tension here,” Chief Justice Marc Noël said, before saying the judges needed time to make a decision after a three-day hearing.
The operator of the pipeline had asked the court to dismiss the legal challenge by four Indigenous groups.
The Indigenous groups “did not negotiate in good faith, or at all,” Trans Mountain Corporation lawyer Maureen Killoran said. Effectively, the groups are attempting to hold a veto more than $10 billion project despite the government’s best attempts to address their concerns, she said.
“This was not a drive-by consultation,” Killoran said.
Coldwater Indian Band, one of the four groups, refused to allow drilling for a hydro-geological study to determine risks to its aquifer, she said. The band said earlier this week that protecting its drinking water was its main concern.
The Indigenous groups alleged that the Canadian government shared key reports on the project's impact late, or even after the consultation period, and that it revised documents. Their concerns include possible oil spills and threats to endangered southern resident killer whales.
Ottawa bought the pipeline last year to ensure expansion proceeded, offering a lifeline to Alberta’s struggling oilpatch. Congested pipelines have forced the Alberta provincial government to curtail production.
A court ruled in August 2018 that Ottawa had failed to properly consult Indigenous people, prompting the government to redo the consultation process before reapproving the expansion in June. But in September, the Court of Appeal agreed to hear fresh concerns that the government fell short again.
In a written submission, Alberta’s government said consultation for Trans Mountain was more extensive than that of any other Canadian infrastructure project, and federal approval should remain in place.
“Regulatory instability and legal uncertainty negatively affect reliable planning ... and put a chill on investor confidence,” lawyers for Alberta's attorney general wrote.
""Consultation is unworkable when, as in this case, it appears the only compromise acceptable to an Indigenous group is abandonment of the project,” they added.
","Thursday, December 19, 2019, 7:39 AM MST", , ,"
 
Legal
, 
Pipelines
", 
"U.S. Concedes Defeat On Nord Stream 2 Project, Officials Say | Daily Oil Bulletin ","
(Bloomberg) — The U.S. has little leverage to prevent the Nord Stream 2 gas pipeline project between Russia and Germany from being completed, two administration officials said, acknowledging the failure of a years-long effort to head off what officials believe is a threat to European security.
The massive $11-billion project is just weeks away from completion and has led President Donald Trump to call Germany “a captive to Russia.” He has criticized the European Union for not doing more to diversify imports away from the nation that supplies more than a third of its gas.
Senior U.S. administration officials, who asked not to be identified discussing the administration’s take on the project, said sanctions that passed Congress on Tuesday as part of a defense bill are too late to have any effect. The U.S. instead will try to impose costs on other Russian energy projects, one of the officials added.
The admission is a rare concession on what had been a top foreign-policy priority for the Trump administration and highlights how European allies such as Germany have been impervious to American pressure to abandon the pipeline. It also shows how the U.S. has struggled to deter Russia from flexing its muscles on issues ranging from energy to Ukraine to election interference.
“It has been a commercial project, but with a huge geopolitical dimension attached to that,” Peter Beyer, who is German Chancellor Angela Merkel’s trans-Atlantic policy coordinator, told Bloomberg Television in an interview in Berlin on Wednesday. “I’m expecting that the sanctions, if Donald Trump is going to sign that bill, will not have a big effect on that project.”
The administration is hoping to sharpen its focus on Russia when Deputy Secretary of State John Sullivan, who was confirmed as ambassador to the country last week, heads to Moscow next month. The post has been vacant since early October, when former envoy Jon Huntsman stepped down, and ties between the two countries have only continued to sour.
On a visit to Poland in February, Secretary of State Michael Pompeo said the Nord Stream 2 project “funnels money to Russians in ways that undermine European national security.”
Who’s dependent on Russia’s gas?
Trump has indicated that he’ll sign the legislation passed Tuesday. The penalties on companies building the project, led by Russian energy company Gazprom PJSC, would be effective immediately, according to a Senate Republican aide.
Some 350 companies are involved in building the undersea link, most notably the Swiss company Allseas Group SA, whose ships are laying the last section of pipe in Danish waters.
The sanctions targets vessels that lay the pipeline as well as executives from companies linked to those ships. They could be denied visas and have transactions related to their U.S.-based property or interests blocked.
The sanctions bill includes a 30-day “wind-down period” that allows targeted companies to halt their operations after the law comes into effect. Yet that could give Gazprom just enough time to finish work.
The last section of pipe can be completed by about Jan. 11, well before the end of the period, according to Anna Borisova, an analyst at BloombergNEF in London. Nord Stream 2 will be in a position to be commissioned between April and June 2020, after additional connection work and testing, she said.
“The project seems safe,” Borisova said. “We don’t see major risks.”
Trying to stymie that strategy, U.S. Senators Ted Cruz and Ron Johnson sent a letter to AllSeas CEO Edward Heerema Wednesday warning the company that it would face “crushing and potentially fatal” sanctions if it continued work on the pipeline. The senators said that the 30-day “wind-down” period was not intended to give AllSeas time to finish the project.
“If you were to attempt to finish the pipeline in the next 30 days, you would devastate your shareholders’ value and destroy the future financial viability of your company,” they wrote.
The new pipeline is set to ship as much as 55 billion cubic meters of Russian gas annually directly to Germany, doubling capacities of the existing Nord Stream link. The U.S. and Eastern European nations see it as a threat to the Ukrainian transit route that has been in place for decades, bringing revenues to the smaller Former Soviet Union nation. The new link theoretically gives Russia the ability to bypass Ukraine as a transit corridor.
Gas traders in Europe are watching carefully for the date when work will finish and gas flows will start through Nord Stream 2. Its importance has increased along with tensions between Russia and Ukraine, which are negotiating a renewal for the 10-year gas transit contract that expires this month. Officials from the two countries plan and the European Commission plan to discuss the matter in Berlin on Thursday.
The completion of Nord Stream 2 could would bring fresh supplies of gas to Europe’s already glutted market. That would make it more difficult for the U.S. to gain a bigger foothold in shipping cargoes of liquefied natural gas by tanker into Europe.
U.S. sales of the fuel made up 26 per cent of imports in November. Flexible terms for contracts from U.S. producers mean that they will sell to where prices are highest, meaning more cargoes may head to Asia in the coming months.
Beyer recognized the need for Europe to buy the fuel from a wider range of sellers.
“From a European standpoint, not only German, we need to diversify our energy interests,” he said. “We are also interested in receiving LNG from the United States of America.”
","Thursday, December 19, 2019, 8:19 AM MST", ,"
 
Gas/LNG
","
 
International
, 
LNG
, 
Natural Gas
, 
Pipelines
, 
U.S.
", 
